               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027602,           0.0028172,            0.015849,             0.56796,             0.51846,             0.50094,             0.28687,            0.024644,          0.00085646,            0.013656,             8.7e-07,             8.7e-07,            0.045651
                   1,            0.028484,           0.0028804,            0.016075,             0.58407,             0.50749,             0.49489,             0.28529,            0.025436,          0.00084732,            0.013451,          1.7489e-06,          1.7489e-06,            0.041252
                   2,            0.027678,           0.0028419,            0.015353,             0.60809,             0.51108,             0.49643,             0.28488,            0.025217,          0.00085788,            0.013408,          2.6237e-06,          2.6237e-06,            0.036853
                   3,            0.026429,           0.0027901,            0.015482,              0.6124,             0.50722,             0.49671,             0.28531,            0.024965,          0.00084058,            0.013711,           3.491e-06,           3.491e-06,            0.032453
                   4,            0.028367,           0.0027681,            0.016459,              0.5483,             0.51551,             0.49659,             0.28566,            0.025566,          0.00083671,            0.013369,          4.3478e-06,          4.3478e-06,            0.028054
                   5,            0.027669,           0.0027741,            0.015819,             0.58294,             0.50627,             0.48729,             0.27947,            0.026076,           0.0008462,            0.013406,           5.191e-06,           5.191e-06,            0.023655
                   6,            0.027934,           0.0028346,            0.016163,             0.57127,             0.51674,             0.50153,             0.29341,            0.024988,          0.00081497,            0.013452,          6.0176e-06,          6.0176e-06,            0.019256
                   7,            0.029178,           0.0028019,            0.016202,             0.60165,             0.50966,             0.50062,             0.28618,            0.025083,          0.00082669,            0.013603,          6.8246e-06,          6.8246e-06,            0.014857
                   8,            0.029196,           0.0027995,            0.015909,             0.54819,             0.53966,             0.49713,             0.29004,             0.02515,          0.00081792,            0.013428,          7.6091e-06,          7.6091e-06,            0.010458
                   9,            0.029205,           0.0027899,            0.016072,              0.3834,             0.59875,             0.49528,             0.28615,             0.02522,           0.0008296,            0.013638,          8.3685e-06,          8.3685e-06,           0.0060584
                  10,            0.027148,           0.0027512,            0.016192,              0.5948,             0.51756,             0.49933,             0.29073,            0.025266,          0.00082343,            0.013467,             9.1e-06,             9.1e-06,           0.0016591
                  11,            0.027634,           0.0027812,            0.015541,             0.60642,             0.51268,             0.50099,             0.29155,            0.025179,          0.00080756,            0.013565,          9.2902e-06,          9.2902e-06,          9.2902e-06
                  12,            0.028662,           0.0027942,            0.016211,              0.6034,              0.5136,             0.49328,             0.28654,            0.025151,          0.00081684,            0.013487,          9.2902e-06,          9.2902e-06,          9.2902e-06
                  13,             0.02741,           0.0027804,            0.016051,             0.59338,             0.51455,             0.49475,             0.28822,             0.02512,          0.00081533,            0.013495,          9.1597e-06,          9.1597e-06,          9.1597e-06
                  14,            0.028536,           0.0028194,            0.015849,             0.55014,             0.51186,             0.49358,             0.28775,             0.02514,            0.000809,            0.013327,          9.0194e-06,          9.0194e-06,          9.0194e-06
                  15,            0.026673,           0.0027602,            0.016014,             0.38298,             0.59595,             0.49274,             0.28748,            0.025248,          0.00081479,            0.013742,          8.8698e-06,          8.8698e-06,          8.8698e-06
                  16,            0.028476,            0.002799,            0.016383,             0.60893,             0.51165,             0.49168,             0.28346,             0.02519,            0.000816,            0.013754,          8.7113e-06,          8.7113e-06,          8.7113e-06
                  17,            0.028135,           0.0028588,            0.016098,             0.38393,             0.60486,              0.4912,              0.2843,            0.025123,          0.00080931,            0.013814,          8.5442e-06,          8.5442e-06,          8.5442e-06
                  18,            0.027798,           0.0027701,             0.01525,             0.55087,             0.53259,             0.49597,             0.28808,            0.025069,          0.00081585,            0.013469,           8.369e-06,           8.369e-06,           8.369e-06
                  19,            0.027903,           0.0027334,            0.015882,             0.55335,             0.52366,             0.49793,             0.28414,            0.025151,          0.00081517,            0.013432,          8.1863e-06,          8.1863e-06,          8.1863e-06
                  20,            0.028142,           0.0028361,            0.016083,             0.37633,             0.60257,             0.48663,             0.28017,            0.025225,          0.00082171,            0.014002,          7.9964e-06,          7.9964e-06,          7.9964e-06
                  21,            0.027808,           0.0026817,            0.016107,             0.55046,             0.51949,             0.49848,             0.28395,            0.025226,          0.00082165,            0.013481,             7.8e-06,             7.8e-06,             7.8e-06
                  22,             0.02804,           0.0028081,            0.016313,             0.60826,              0.5032,             0.49993,              0.2861,            0.025163,          0.00082776,            0.013312,          7.5976e-06,          7.5976e-06,          7.5976e-06
                  23,            0.028686,           0.0027833,             0.01612,             0.37178,             0.61285,             0.49779,             0.28234,            0.025105,          0.00081672,            0.013674,          7.3896e-06,          7.3896e-06,          7.3896e-06
                  24,             0.02745,           0.0027493,            0.015911,             0.60445,             0.50419,             0.49282,              0.2869,            0.025034,          0.00083214,            0.013533,          7.1768e-06,          7.1768e-06,          7.1768e-06
                  25,            0.027547,           0.0027324,             0.01561,             0.36805,              0.6161,             0.49216,             0.28704,            0.025127,          0.00080691,            0.013635,          6.9597e-06,          6.9597e-06,          6.9597e-06
                  26,             0.02836,           0.0027536,             0.01574,             0.54243,             0.53183,             0.49117,             0.28448,            0.025165,          0.00081558,            0.013819,          6.7388e-06,          6.7388e-06,          6.7388e-06
                  27,            0.028222,           0.0027439,            0.015931,             0.55104,             0.50868,             0.48776,             0.28292,            0.025186,           0.0008172,            0.013726,          6.5148e-06,          6.5148e-06,          6.5148e-06
